,name,url,xml_url,release_date,status,description
0,AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml,"April 03, 2020",Changed,"Changed
Integration with VPC Service Controls is now in beta stage."
1,AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml,"November 21, 2019",Feature,"Feature
As part of AI Explanations, AutoML Tables now provides the option to show how each feature impacted an online prediction. This capability is called local feature importance, and is calculated using the Sampled Shapley method. Learn more."
2,AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml,"November 18, 2019",Feature,"Feature
Support for the European Union region, including the ability to configure AutoML Tables to store your data at rest and perform machine learning processing only in the European Union. Learn more.
Feature
Support for exporting AutoML Tables models to Cloud Storage, and then use Docker to make the
model available for predictions. Learn more.
Feature
Support for using Stackdriver Logging to see final model hyperparameters as well as hyperparameters used during training trials. Learn more."
3,AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml,"November 15, 2019",Changed,"Changed

Support for up to 500 distinct values for Categorical target column.
Support for Precision at recall and Recall at precision optimization objectives for classification models. Learn more.

Changed
The AutoML Tables Python client library now includes additional methods that simplify using the AutoML API for common AutoML Tables tasks. Learn more."
4,AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml,"July 23, 2019",Changed,"Changed
Datasets smaller than 100,000 rows (and larger than the minimum size of 1,000 rows) are now fully supported."
5,AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml,"June 28, 2019",Changed,"Changed
Support for the ""early stopping"" feature. The model training process now stops by default when the search process is no longer finding better performing models. Early stopping can also be disabled."
6,AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml,"June 12, 2019",Changed,"Changed

Support for up to 100 distinct values for Categorical target column.
Support for BigQuery views.
"
7,AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml,"April 29, 2019",Changed,"Changed
Filename change for CSV output files for batch predictions; now tables_1.csv, tables_2.csv and so on. Learn more."
8,AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml,"April 10, 2019",Feature,"Feature
AutoML Tables Beta Release"
9,AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml,"March 19, 2019",Issue,"Issue
You must deploy a model before you can request online predictions using that model. Once you deploy a model, it remains deployed until you undeploy it. You can deploy and undeploy models by using Google Cloud Platform Console or by using the Cloud AutoML. Learn more."
10,AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml,"December 14, 2018",Feature,"Feature
AutoML Tables EAP release
Issue
Only the us-central1 location is supported."
11,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"April 03, 2020",Changed,"Changed
Integration with VPC Service Controls is now in beta stage."
12,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"March 20, 2020",Changed,"Changed
AutoML Natural Language now supports TIFF files as training data and input for predictions.
Changed
AutoML Natural Language now supports classification and sentiment analysis in 20 languages."
13,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"January 30, 2020",Feature,"Feature
AutoML Natural Language now supports entity analysis in over 100 languages."
14,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"December 12, 2019",Feature,"Feature
AutoML Natural Language General Availability (GA) release
AutoML Natural Language enables you to train three types of custom machine learning models:

AutoML Text & Document Classification creates models to classify documents according to labels that you define.
AutoML Text & Document Entity Extraction creates models to identify a custom set of entities within documents.
AutoML Text & Document Sentiment Analysis creates models to analyze attitudes within text.

The GA release consolidates these features, which were documented as separate products during beta testing. See the AutoML Natural Language documentation for details about all features."
15,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"October 30, 2019",Feature,"Feature
AutoML Natural Language offers you control over where your datasets and models are stored and where machine learning takes place. In particular, you can configure AutoML Natural Language to at rest and perform machine learning processing in the European Union only. See Locations for more information."
16,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"October 21, 2019",Feature,"Feature
AutoML Natural Language Text Classification now supports batch prediction.
Feature
AutoML Natural Language Text Classification can now classify PDF files and also supports PDF files as training items."
17,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"September 04, 2019",Feature,"Feature
AutoML Natural Language Entity Extraction offers support for document-based entity extraction, which enables you to identify entities in a format that recreates the basic layout of the training item. When you add annotations, AutoML Natural Language Entity Extraction captures the annotation's position on the page as a factor considered during training. See Managing datasets for more information."
18,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"April 10, 2019",Feature,"Feature
AutoML Natural Language Entity Extraction Beta has been released.
Feature
AutoML Natural Language Sentiment Analysis Beta has been released.
Issue
Microsoft Edge and Microsoft Internet Explorer do not support all features of AutoML Natural Language Entity Extraction. If you are having problems, try Google Chrome, Safari, or Firefox.
Issue
Microsoft Edge and Microsoft Internet Explorer do not support all features of AutoML Natural Language Sentiment Analysis. If you are having problems, try Google Chrome, Safari, or Firefox."
19,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"January 22, 2019",Changed,"Changed
Beginning January 22, 2019, inactive models are subject to automatic undeployment. An inactive model is one that has not been used for prediction in 60 days. An undeployed model is not available for use until you explicitly redeploy it using a method that will be made available in advance of any undeployments."
20,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"November 01, 2018",Changed,"Changed
The AutoML Natural Language Text Classification service account requires additional permissions to access project resources when using the AutoML Natural Language Text Classification UI. You must add the role serviceusage.serviceUsageAdmin. See step 8 in Before You Begin."
21,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"August 24, 2018",Changed,"Changed
The URL for the AutoML Natural Language Text Classification UI has changed to https://console.cloud.google.com/natural-language. The previous URL https://beta-dot-custom-vision.appspot.com/text/ will remain active."
22,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"July 24, 2018",Feature,"Feature
AutoML Natural Language Text Classification Beta Release
Models created during the EAP will continue to be valid for the Beta. You do not need to recreate/retrain models. However, the format of resource IDs (dataset IDs, model IDs, and operation IDs) is changing. If you are using hardcoded resource IDs, you need to obtain new IDs for those resources (using the get or list method) by August 31, 2018.
Note: Enabling the AutoML API for your project automatically also enables the Cloud Vision API, Cloud Translation API, and Cloud Natural Language API. Disabling any of these three APIs will also disable the AutoML API."
23,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"June 07, 2018",Changed,"Changed
The earlier version of the AutoML Natural Language Text Classification UI has been deprecated. Attempts to connect to the older UI are redirected to the new UI."
24,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"May 21, 2018",Changed,"Changed
The refresh of the AutoML Natural Language Text Classification EAP release introduces a new UI design and a new API."
25,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"April 02, 2018",Changed,"Changed
AutoML Natural Language Text Classification has changes to its modeling logic. You may notice an increase in training latency as well as potential improvements in training performance."
26,AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml,"February 07, 2018",Feature,"Feature
AutoML Natural Language Text Classification EAP release"
27,AutoML Translation,https://cloud.google.com/translate/automl/docs/release-notes,https://cloud.google.com/feeds/automl-translate-release-notes.xml,"April 03, 2020",Changed,"Changed
Integration with VPC Service Controls is now in beta stage."
28,AutoML Translation,https://cloud.google.com/translate/automl/docs/release-notes,https://cloud.google.com/feeds/automl-translate-release-notes.xml,"October 14, 2019",Feature,"Feature
AutoML Translation is now generally available. Translations are now faster and quality should be improved or on par with previous versions; individual results will vary depending on your datasets. In addition, quality improvements can vary across language pairs.
Changed
Model lifetime  AutoML Models run on a managed platform that is regularly upgraded. AutoML Models need to be re-trained at least every 18 months to ensure consistent performance and stability in translations over time and to get any benefits of the upgrades since original training. Models created before AutoML GA (for example, models created during service Alpha /Beta) need to be  re-trained within 18 months of GA to move all assets to the newest version of the platform. 
Feature
AutoML Translation has upgraded its Google NMT base models onto a new training architecture so that it now runs end-to-end on upgraded
TPUs. Going forward, all training using Google NMT as the base model trains and serves on TPUs.
Changed
Customers already using AutoML might experience additional differences between v1 and previous versions of the service:

Data validation now provides warnings on data import to
indicate certain data is not usable for training jobs.
Data import takes longer in order to support data validation. 
To achieve higher quality on the new 
architecture, training durations are longer. 
"
29,AutoML Translation,https://cloud.google.com/translate/automl/docs/release-notes,https://cloud.google.com/feeds/automl-translate-release-notes.xml,"September 04, 2019",Feature,"Feature
AutoML Translation has enabled Google Cloud Platform (GCP) Console-based UI for all its customers. This improves the Cloud AutoML Translation experience by adding  UI elements such as controls to sort/filter datasets, which provides consistency with the rest of GCP and allows for faster release of new features.
Changed
The URL for the AutoML Translation UI has changed to https://console.cloud.google.com/translation."
30,AutoML Translation,https://cloud.google.com/translate/automl/docs/release-notes,https://cloud.google.com/feeds/automl-translate-release-notes.xml,"December 11, 2018",Changed,"Changed
The minimum number of sentence pairs required to train a custom model has changed. If you don't explicitly specify training, validation, and test sets, the minimum number of sentence pairs is 1000. If you do explicitly specify training, validation, and test sets, the minimum number of pairs used for validation and test is 100 each."
