name,url,xml_url
AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes,https://cloud.google.com/feeds/automl-tables-release-notes.xml
AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes,https://cloud.google.com/feeds/automl-language-release-notes.xml
AutoML Translation,https://cloud.google.com/translate/automl/docs/release-notes,https://cloud.google.com/feeds/automl-translate-release-notes.xml
AutoML Video Intelligence Classification,https://cloud.google.com/video-intelligence/automl/docs/release-notes,https://cloud.google.com/feeds/automl-video-intelligence-classification-release-notes.xml
AutoML Video Intelligence Object Tracking,https://cloud.google.com/video-intelligence/automl/object-tracking/docs/release-notes,https://cloud.google.com/feeds/automl-video-intelligence-object-tracking-release-notes.xml
AutoML Vision Image Classification (ICN),https://cloud.google.com/vision/automl/docs/release-notes,https://cloud.google.com/feeds/automl-vision-release-notes.xml
AutoML Vision Object Detection,https://cloud.google.com/vision/automl/object-detection/docs/release-notes,https://cloud.google.com/feeds/automl-vision-object-detection-release-notes.xml
Cloud Vision,https://cloud.google.com/vision/docs/release-notes,https://cloud.google.com/feeds/vision-release-notes.xml
Cloud Vision API Product Search,https://cloud.google.com/vision/product-search/docs/release-notes,https://cloud.google.com/feeds/visionproductsearch-release-notes.xml
Video AI,https://cloud.google.com/video-intelligence/docs/release-notes,https://cloud.google.com/feeds/video-release-notes.xml
Cloud Natural Language,https://cloud.google.com/natural-language/docs/release-notes,https://cloud.google.com/feeds/language-release-notes.xml
Cloud Translation,https://cloud.google.com/translate/docs/release-notes,https://cloud.google.com/feeds/translate-release-notes.xml
Text-to-Speech,https://cloud.google.com/text-to-speech/docs/release-notes,https://cloud.google.com/feeds/tts-release-notes.xml
Speech-to-Text,https://cloud.google.com/speech-to-text/docs/release-notes,https://cloud.google.com/feeds/speech-release-notes.xml
Dialogflow,https://cloud.google.com/dialogflow/docs/release-notes,https://cloud.google.com/feeds/dialogflow-release-notes.xml
Cloud Data Labeling,https://cloud.google.com/ai-platform/data-labeling/docs/release-notes,no_xml_link
Recommendations AI,https://cloud.google.com/recommendations-ai/docs/release-notes,https://cloud.google.com/feeds/automl-recommendation-release-notes.xml
AI Platform,https://cloud.google.com/ai-platform/docs/release-notes,https://cloud.google.com/feeds/aiplatform-release-notes.xml
AI Platform Deep Learning VM Image,https://cloud.google.com/ai-platform/deep-learning-vm/docs/release-notes,https://cloud.google.com/feeds/deeplearningvm-release-notes.xml
AI Platform Data Labeling Service,https://cloud.google.com/ai-platform/data-labeling/docs/release-notes,no_xml_link
AI Platform Deep Learning Containers,https://cloud.google.com/ai-platform/deep-learning-containers/docs/release-notes,https://cloud.google.com/feeds/aiplatformdeeplearningcontainers-release-notes.xml
AI Platform Notebooks,https://cloud.google.com/ai-platform/notebooks/docs/release-notes,https://cloud.google.com/feeds/aiplatformnotebooks-release-notes.xml
AI Platform Pipelines,https://cloud.google.com/ai-platform/pipelines/docs/release-notes,https://cloud.google.com/feeds/ai-platform-pipelines-release-notes.xml
AI Platform Prediction,https://cloud.google.com/ai-platform/prediction/docs/release-notes,https://cloud.google.com/feeds/ai-platform-prediction-release-notes.xml
AI Platform Training,https://cloud.google.com/ai-platform/training/docs/release-notes,https://cloud.google.com/feeds/ai-platform-training-release-notes.xml
AI Hub,https://cloud.google.com/ai-hub/docs/release-notes,https://cloud.google.com/feeds/aihub-release-notes.xml
Cloud GPUs,https://cloud.google.com/compute/docs/release-notes,https://cloud.google.com/feeds/compute-release-notes.xml
Cloud TPU,https://cloud.google.com/tpu/docs/release-notes,https://cloud.google.com/feeds/tpu-release-notes.xml
TensorFlow Enterprise,https://cloud.google.com/tensorflow-enterprise/docs/release-notes,https://cloud.google.com/feeds/tensorflowenterprise-release-notes.xml
Cloud Endpoints,https://cloud.google.com/endpoints/docs/release-notes,https://cloud.google.com/feeds/cloud-endpoints-release-notes.xml
