,Date of release,Release description
0,2020-04-29,AI Platform Prediction
1,2020-04-24,AI Platform Prediction
2,2020-04-13,AI Platform Prediction
3,2020-04-09,AI Platform Prediction
4,2020-04-08,AI Platform Optimizer
5,2020-04-06,AI Platform Training
6,2020-04-03,AI Platform Training
7,2020-03-31,AI Platform Notebooks
8,2020-03-27,AI Platform Prediction
9,2020-03-17,AI Platform Training
10,2020-03-09,AI Platform Prediction
11,2020-03-06,AI Platform Training
12,2020-03-05,AI Platform Pipelines
13,2020-02-11,AI Platform Training
14,2020-02-10,AI Platform Prediction
15,2020-02-05,AI Platform Prediction
16,2020-02-04,AI Platform Notebooks
17,2020-02-03,AI Platform Notebooks
18,2020-01-29,AI Platform Prediction
19,2020-01-28,AI Platform Training
20,2020-01-23,AI Platform Prediction
21,2020-01-22,AI Platform Prediction
22,2020-01-21,AI Platform Deep Learning VM Image
23,2020-01-15,AI Platform Prediction
24,2020-01-14,AI Platform Training
25,2020-01-07,AI Platform Prediction
26,2019-12-20,AI Platform Training
27,2019-12-19,AI Platform Prediction
28,2019-12-10,AI Platform Prediction
29,2019-12-03,AI Platform Prediction
