name,url
AutoML Natural Language,https://cloud.google.com/automl-tables/docs/release-notes
AutoML Tables,https://cloud.google.com/natural-language/automl/docs/release-notes
AutoML Translation,https://cloud.google.com/translate/automl/docs/release-notes
AutoML Video Intelligence Classification,https://cloud.google.com/video-intelligence/automl/docs/release-notes
AutoML Video Intelligence Object Tracking,https://cloud.google.com/video-intelligence/automl/object-tracking/docs/release-notes
AutoML Vision Image Classification (ICN),https://cloud.google.com/vision/automl/docs/release-notes
AutoML Vision Object Detection,https://cloud.google.com/vision/automl/object-detection/docs/release-notes
Cloud Vision,https://cloud.google.com/vision/docs/release-notes
Cloud Vision API Product Search,https://cloud.google.com/vision/product-search/docs/release-notes
Video AI,https://cloud.google.com/video-intelligence/docs/release-notes
Cloud Natural Language,https://cloud.google.com/natural-language/docs/release-notes
Cloud Translation,https://cloud.google.com/translate/docs/release-notes
Text-to-Speech,https://cloud.google.com/text-to-speech/docs/release-notes
Speech-to-Text,https://cloud.google.com/speech-to-text/docs/release-notes
Dialogflow,https://cloud.google.com/dialogflow/docs/release-notes
Cloud Data Labeling,https://cloud.google.com/ai-platform/data-labeling/docs/release-notes
Recommendations AI,https://cloud.google.com/recommendations-ai/docs/release-notes
AI Platform,https://cloud.google.com/ai-platform/docs/release-notes
AI Platform Deep Learning VM Image,https://cloud.google.com/ai-platform/deep-learning-vm/docs/release-notes
AI Platform Data Labeling Service,https://cloud.google.com/ai-platform/data-labeling/docs/release-notes
AI Platform Deep Learning Containers,https://cloud.google.com/ai-platform/deep-learning-containers/docs/release-notes
AI Platform Notebooks,https://cloud.google.com/ai-platform/notebooks/docs/release-notes
AI Platform Pipelines,https://cloud.google.com/ai-platform/pipelines/docs/release-notes
AI Platform Prediction,https://cloud.google.com/ai-platform/prediction/docs/release-notes
AI Platform Training,https://cloud.google.com/ai-platform/training/docs/release-notes
AI Hub,https://cloud.google.com/ai-hub/docs/release-notes
Cloud GPUs,https://cloud.google.com/compute/docs/release-notes
